Vijay Chidambaram,University of Texas at Austin
Juliana	Freire,NYU Tandon
Fraida	Fund,NYU Tandon
Haryadi	Gunawi,University of Chicago
Dan	Katz,University of Illinois
Kate Keahey,Argonne National Laboratory / University of Chicago
Reedr Milewicz,Sandia National Laboratories 
Solal Pirelli,EPFL 
Beth Plale,Indiana University
Stefanie Scherzinger,University of Passau
Michela	Taufer,"University of Tennessee, Knoxville"
Douglas	Thain, University of Notre Dame
Anjo Vahldiek-Oberwagner,Intel Labs
